swear,328
sweat,50
sweet,775
swift,94
sword,421
swore,59
sworn,196
table,226
tailor,42
taken,91
tarry,40
taste,93
taught,53
teach,120
tears,274
tedious,50
teeth,56
tells,43
tempest,48
tender,174
terms,74
thank,451
their,1964
themselves,158
there,2053
these,1101
thief,68
thing,866
think,1270
third,76
those,467
though,1111
thrive,60
throat,78
throne,75
throw,183
thrust,58
thunder,74
times,254
title,120
together,265
tongue,492
touch,204
toward,156
tower,18
train,304
traitor,197
tread,55
treasure,58
trial,65
tribunes,27
trick,94
triumph,75
trouble,125
truly,124
trumpet,178
trust,224
truth,344
turns,51
twice,62
tyrant,67
uncle,234
under,504
undone,52
unless,66
until,43
unworthy,31
utter,117
valiant,154
valour,99
vantage,180
vengeance,212
version,8
victory,46
villain,327
viola,16
violent,47
virtue,228
visit,92
voice,212
walls,84
warlike,57
warrant,189
waste,73
watch,175
water,195
wealth,113
weapons,40
weary,82
weeds,42
weeping,58
weight,63
welcome,279
wench,84
where,1005
whether,56
which,1418
while,215
whither,39
whole,160
whore,101
whose,383
widow,89
willing,89
window,67
wings,55
winter,78
wisdom,100
witch,79
withal,147
within,340
without,287
witness,121
wives,61
woman,493
wonder,160
works,24
world,698
worse,168
worship,132
worth,510
would,2163
wound,201
wrath,71
wretch,147
write,138
written,34
wrong,375
yield,180
yonder,59
young,462
yours,516
youth,310
